id,name,mincash,maxcash,avgcoin,done,min_expansion,max_expansion,content_flags,content_flags_disabled
1,a_froglok_repairer,1,2000,250,0,-1,-1,NULL,NULL
2,Orc_Centurion,1,50,7,0,-1,-1,NULL,NULL
65,A_Skulking_Gnoll,0,0,0,1,-1,-1,NULL,NULL
106,#Lady_Mirenilla,1430,9460,0,1,-1,-1,NULL,NULL
118,A_Froglok,1,50,7,1,-1,-1,NULL,NULL
129,"sleeper Tukaarak_the_Warder",30000,60000,0,1,-1,-1,NULL,NULL
130,"sleeper Nanzata_the_Warder",30000,60000,0,1,-1,-1,NULL,NULL
131,"sleeper Ventani_the_Warder",30000,60000,0,1,-1,-1,NULL,NULL
146,A_Froglok_Realist,1,2500,500,0,-1,-1,NULL,NULL
154,"sleeper Hraashna_the_Warder",30000,60000,0,1,-1,-1,NULL,NULL
162,"fearplane Phoboplasm",1078,7137,0,1,-1,-1,NULL,NULL
168,"hateplane male A_Forsaken_Revenant",1100,7282,0,1,-1,-1,NULL,NULL
215,Naxot_Deepwater,1,2500,500,1,-1,-1,NULL,NULL
217,A_Plasmatic_Priest,1188,7863,0,0,-1,-1,NULL,NULL
223,Squallslither,0,0,0,0,-1,-1,NULL,NULL
232,Akksstaff,660,4378,0,1,-1,-1,NULL,NULL
236,A_Seeker,726,4814,0,1,-1,-1,NULL,NULL
240,X`ta_Tempi,858,5685,0,0,-1,-1,NULL,NULL
253,Bracken_Underbrush,1,2000,250,0,-1,-1,NULL,NULL
265,Shazda_Asad,1,2500,500,1,-1,-1,NULL,NULL
300,Seplawishinl_Bladeblight,600,4000,0,1,-1,-1,NULL,NULL
372,#High_Scale_Kirn,1144,7572,0,1,-1,-1,NULL,NULL
376,Xenevorash,0,0,0,0,-1,-1,NULL,NULL
378,Incoherent_Spirit,902,5975,0,1,-1,-1,NULL,NULL
379,Eichvul,1,2500,500,1,-1,-1,NULL,NULL
416,Equestrielle_the_Corrupted,0,0,0,1,-1,-1,NULL,NULL
417,Rineval_Talyas,836,5540,0,1,-1,-1,NULL,NULL
466,Meridith_Tindle,1,500,25,1,-1,-1,NULL,NULL
485,Misty_Storyswapper,1,1000,50,1,-1,-1,NULL,NULL
