id,spawngroupID,zone,x,y,z,heading,respawntime,variance,pathgrid,_condition,cond_value,enabled,animation,boot_respawntime,clear_timer_onboot,boot_variance,force_z,min_expansion,max_expansion,content_flags,content_flags_disabled
1154,5089,cshome,-3,360,-50.200001,0,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
1155,5090,cshome,-19,525,-9.7,64,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
1156,5091,cshome,-19,515,-11,64,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
1157,5092,cshome,-19,505,-12.2,64,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
1158,5093,cshome,-19,495,-11.3,64,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
1159,5094,cshome,-19,455,-12.8,64,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
1160,5095,cshome,-19,445,-10.4,64,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
1161,5096,cshome,-19,435,-9.1,64,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
1162,5097,cshome,-19,425,-11,64,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
1163,5098,cshome,-19,415,-11.6,64,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
1164,5099,cshome,-19,405,-11,64,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
1165,5100,cshome,-19,395,-12.8,64,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
1166,5101,cshome,-19,385,-11,64,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
1167,5102,cshome,-19,375,-11,64,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
1168,5103,cshome,-19,360,-11,0,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
1169,5104,cshome,-52,312,-11,64,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
1170,5083,cshome,-52,322,-11,64,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
1171,5106,cshome,-52,332,-10.4,64,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
1172,5084,cshome,-52,342,-10.4,64,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
1173,5108,cshome,-2,342,-9.1,64,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
1174,5109,cshome,-11,338,-12.5,127,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
1175,5110,cshome,42,317,-11,255,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
1176,5111,cshome,340,377,-15.9,175,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
1177,5112,cshome,28,319,-11.6,0,10,1,0,0,1,1,0,0,0,0,0,-1,-1,NULL,NULL
