lootdrop_id,item_id,item_charges,equip_item,chance,minlevel,maxlevel,multiplier,disabled_chance,min_expansion,max_expansion,content_flags,content_flags_disabled
209,1025,1,1,9,0,255,1,0,-1,-1,NULL,NULL
209,1026,1,1,9,0,255,1,0,-1,-1,NULL,NULL
209,1027,1,1,9,0,255,1,0,-1,-1,NULL,NULL
209,1028,1,1,9,0,255,1,0,-1,-1,NULL,NULL
209,1029,1,1,8,0,255,1,0,-1,-1,NULL,NULL
209,1030,1,1,8,0,255,1,0,-1,-1,NULL,NULL
209,1031,1,1,8,0,255,1,0,-1,-1,NULL,NULL
209,1032,1,1,8,0,255,1,0,-1,-1,NULL,NULL
209,1033,1,1,8,0,255,1,0,-1,-1,NULL,NULL
209,1034,1,1,8,0,255,1,0,-1,-1,NULL,NULL
209,1035,1,1,8,0,255,1,0,-1,-1,NULL,NULL
209,1036,1,1,8,0,255,1,0,-1,-1,NULL,NULL
246,1097,1,1,14.3,0,255,1,0,-1,-1,NULL,NULL
246,1099,1,1,14.3,0,255,1,0,-1,-1,NULL,NULL
246,1100,1,1,14.3,0,255,1,0,-1,-1,NULL,NULL
246,1112,1,1,14.3,0,255,1,0,-1,-1,NULL,NULL
246,1113,1,1,14.3,0,255,1,0,-1,-1,NULL,NULL
246,1114,1,1,14.3,0,255,1,0,-1,-1,NULL,NULL
246,1116,1,1,14.3,0,255,1,0,-1,-1,NULL,NULL
272,1101,1,1,9,0,255,1,0,-1,-1,NULL,NULL
272,1102,1,1,9,0,255,1,0,-1,-1,NULL,NULL
272,1103,1,1,9,0,255,1,0,-1,-1,NULL,NULL
272,1104,1,1,9,0,255,1,0,-1,-1,NULL,NULL
272,1105,1,1,8,0,255,1,0,-1,-1,NULL,NULL
272,1106,1,1,8,0,255,1,0,-1,-1,NULL,NULL
272,1107,1,1,8,0,255,1,0,-1,-1,NULL,NULL
272,1108,1,1,8,0,255,1,0,-1,-1,NULL,NULL
272,1109,1,1,8,0,255,1,0,-1,-1,NULL,NULL
272,1110,1,1,8,0,255,1,0,-1,-1,NULL,NULL
272,1111,1,1,8,0,255,1,0,-1,-1,NULL,NULL
273,13409,1,0,25,0,255,1,0,-1,-1,NULL,NULL
273,16532,1,0,25,0,255,1,0,-1,-1,NULL,NULL
273,22524,1,0,25,0,255,1,0,1,99,NULL,NULL
369,1204,1,1,4,0,255,1,0,-1,-1,NULL,NULL
369,1218,1,1,3,0,255,1,0,-1,-1,NULL,NULL
369,3803,1,1,4,0,255,1,0,-1,-1,NULL,NULL
369,4843,1,1,4,0,255,1,0,-1,-1,NULL,NULL
369,4854,1,1,4,0,255,1,0,-1,-1,NULL,NULL
369,4864,1,1,4,0,255,1,0,-1,-1,NULL,NULL
369,4877,1,1,4,0,255,1,0,-1,-1,NULL,NULL
369,4887,1,1,4,0,255,1,0,-1,-1,NULL,NULL
369,4896,1,1,4,0,255,1,0,-1,-1,NULL,NULL
369,4904,1,1,4,0,255,1,0,-1,-1,NULL,NULL
369,4915,1,1,4,0,255,1,0,-1,-1,NULL,NULL
383,1239,1,1,3,0,255,1,0,-1,-1,NULL,NULL
383,1240,1,1,2,0,255,1,0,-1,-1,NULL,NULL
383,1241,1,1,4,0,255,1,0,-1,-1,NULL,NULL
383,1242,1,1,5,0,255,1,0,-1,-1,NULL,NULL
383,1243,1,1,4,0,255,1,0,-1,-1,NULL,NULL
383,1244,1,1,3,0,255,1,0,-1,-1,NULL,NULL
383,1245,1,1,4,0,255,1,0,-1,-1,NULL,NULL
385,12502,3,1,3,0,255,1,0,-1,-1,NULL,NULL
385,16537,1,0,24,0,255,1,0,-1,-1,NULL,NULL
387,10035,1,0,2,0,255,1,0,-1,-1,NULL,NULL
387,10036,1,0,2,0,255,1,0,-1,-1,NULL,NULL
387,10037,1,0,2,0,255,1,0,-1,-1,NULL,NULL
387,10048,1,1,2,0,255,1,0,-1,-1,NULL,NULL
387,10049,1,1,2,0,255,1,0,-1,-1,NULL,NULL
387,10050,1,1,2,0,255,1,0,-1,-1,NULL,NULL
387,10051,1,1,2,0,255,1,0,-1,-1,NULL,NULL
387,10053,1,0,2,0,255,1,0,-1,-1,NULL,NULL
387,22503,1,0,2,0,255,1,0,1,99,NULL,NULL
526,1297,1,1,100,0,255,1,0,-1,-1,NULL,NULL
529,6048,1,1,100,0,255,1,0,-1,-1,NULL,NULL
543,1317,1,1,25,0,255,1,0,-1,-1,NULL,NULL
543,14311,1,0,75,0,255,1,0,-1,-1,NULL,NULL
556,13676,1,1,100,0,255,1,0,-1,-1,NULL,NULL
561,1344,1,1,100,0,255,1,0,-1,-1,NULL,NULL
561,6048,1,1,100,0,255,1,0,-1,-1,NULL,NULL
566,1355,1,1,60,0,255,1,0,-1,-1,NULL,NULL
593,1367,1,1,25,0,255,1,0,-1,-1,NULL,NULL
593,14307,1,0,75,0,255,1,0,-1,-1,NULL,NULL
598,13409,1,0,50,0,255,1,0,-1,-1,NULL,NULL
598,22524,1,0,50,0,255,1,0,-1,-1,NULL,NULL
615,1412,1,1,75,0,255,1,0,-1,-1,NULL,NULL
615,4408,1,1,25,0,255,1,0,-1,-1,NULL,NULL
617,1413,1,1,18,0,255,1,0,-1,-1,NULL,NULL
694,1548,1,1,100,0,255,1,0,-1,-1,NULL,NULL
843,1681,1,1,100,0,255,1,0,-1,-1,NULL,NULL
848,1688,1,0,100,0,255,1,0,-1,-1,NULL,NULL
851,1715,1,1,100,0,255,1,0,-1,-1,NULL,NULL
852,18174,1,0,100,0,255,1,0,-1,-1,NULL,NULL
940,10154,5,1,100,0,255,1,0,-1,-1,NULL,NULL
941,1815,1,0,50,0,255,1,0,-1,-1,NULL,NULL
941,10155,2,0,50,0,255,1,0,-1,-1,NULL,NULL
942,1827,1,1,100,0,255,1,0,-1,-1,NULL,NULL
1056,2007,1,1,100,0,255,1,0,-1,-1,NULL,NULL
1103,2137,1,1,2,0,255,1,0,-1,-1,NULL,NULL
1103,2138,1,1,2,0,255,1,0,-1,-1,NULL,NULL
1103,2139,1,1,2,0,255,1,0,-1,-1,NULL,NULL
1103,2140,1,1,2,0,255,1,0,-1,-1,NULL,NULL
1103,2141,1,1,2,0,255,1,0,-1,-1,NULL,NULL
1103,2142,1,1,2,0,255,1,0,-1,-1,NULL,NULL
1103,2143,1,1,2,0,255,1,0,-1,-1,NULL,NULL
1103,2144,1,1,2,0,255,1,0,-1,-1,NULL,NULL
1103,2145,1,1,4,0,255,1,0,-1,-1,NULL,NULL
1103,2146,1,1,2,0,255,1,0,-1,-1,NULL,NULL
1103,2147,1,1,2,0,255,1,0,-1,-1,NULL,NULL
1103,2148,1,1,2,0,255,1,0,-1,-1,NULL,NULL
1103,13013,1,1,100,0,255,1,0,-1,-1,NULL,NULL
1220,2320,1,1,25,0,127,1,0,-1,-1,NULL,NULL
1220,6321,1,1,75,0,127,1,0,-1,-1,NULL,NULL
1221,2321,1,1,25,0,127,1,0,-1,-1,NULL,NULL
1221,5357,1,1,75,0,127,1,0,-1,-1,NULL,NULL
1223,2323,1,1,25,0,255,1,0,-1,-1,NULL,NULL
1223,13855,1,0,75,0,255,1,0,-1,-1,NULL,NULL
1228,2325,1,0,25,0,255,1,0,-1,-1,NULL,NULL
1228,13857,1,0,75,0,255,1,0,-1,-1,NULL,NULL
1234,2329,1,1,75,0,255,1,0,-1,-1,NULL,NULL
1234,6322,1,1,25,0,255,1,0,-1,-1,NULL,NULL
1235,13406,1,0,11,0,255,1,0,-1,-1,NULL,NULL
1235,13413,1,0,11,0,255,1,0,-1,-1,NULL,NULL
1235,13414,1,0,11,0,255,1,0,-1,-1,NULL,NULL
1235,13415,1,0,11,0,255,1,0,-1,-1,NULL,NULL
1235,13416,1,0,11,0,255,1,0,-1,-1,NULL,NULL
1235,13418,1,0,11,0,255,1,0,-1,-1,NULL,NULL
1235,13421,1,0,11,0,255,1,0,-1,-1,NULL,NULL
1235,13422,1,0,11,0,255,1,0,-1,-1,NULL,NULL
1235,21968,1,0,12,0,255,1,0,-1,-1,NULL,NULL
1238,2331,1,1,75,0,255,1,0,-1,-1,NULL,NULL
1238,3169,1,1,25,0,255,1,0,-1,-1,NULL,NULL
1245,2335,1,1,100,0,255,1,0,-1,-1,NULL,NULL
1255,2340,1,1,25,0,255,1,0,-1,-1,NULL,NULL
1255,7405,1,1,75,0,255,1,0,-1,-1,NULL,NULL
1299,2373,1,1,75,0,255,1,0,-1,-1,NULL,NULL
1299,2374,1,1,25,0,255,1,0,-1,-1,NULL,NULL
1300,2375,1,1,75,0,255,1,0,-1,-1,NULL,NULL
1300,5325,1,1,25,0,255,1,0,-1,-1,NULL,NULL
1302,2391,1,0,100,0,255,1,0,-1,-1,NULL,NULL
1314,2408,1,1,20,0,255,1,0,-1,-1,NULL,NULL
1314,17404,1,0,80,0,255,1,0,-1,-1,NULL,NULL
1323,2419,1,1,5,0,255,1,0,-1,-1,NULL,NULL
1323,13689,1,1,1,0,255,1,0,-1,-1,NULL,NULL
1325,25798,1,0,100,0,255,1,0,-1,-1,NULL,NULL
1334,2462,1,1,75,0,127,1,0,-1,-1,NULL,NULL
1334,2463,1,1,25,0,127,1,0,-1,-1,NULL,NULL
1336,2466,1,1,25,0,255,1,0,-1,-1,NULL,NULL
1336,10363,1,1,75,0,255,1,0,-1,-1,NULL,NULL
1507,11937,1,1,7.5,0,255,1,0,-1,-1,NULL,NULL
1508,13041,1,0,35,0,255,2,0,-1,-1,NULL,NULL
1508,14018,1,0,15,0,255,1,0,-1,-1,NULL,NULL
1508,16983,1,0,15,0,255,1,0,-1,-1,NULL,NULL
1509,11936,1,0,15,0,255,1,0,-1,-1,NULL,NULL
1509,12878,1,0,15,0,255,1,0,-1,-1,NULL,NULL
1556,2729,1,1,100,0,255,1,0,-1,-1,NULL,NULL
1557,12730,1,0,90,0,255,1,0,-1,-1,NULL,NULL
1557,12731,1,0,10,0,255,1,0,-1,-1,NULL,NULL
1881,3306,1,1,75,0,255,1,0,-1,-1,NULL,NULL
1881,10361,1,1,25,0,255,1,0,-1,-1,NULL,NULL
1953,3402,1,1,100,0,255,1,0,-1,-1,NULL,NULL
1972,20452,1,0,100,0,255,1,0,-1,-1,NULL,NULL
1986,10622,1,0,100,0,255,1,0,-1,-1,NULL,NULL
1987,3808,1,1,25,0,255,1,0,-1,-1,NULL,NULL
1987,5425,1,1,75,0,255,1,0,-1,-1,NULL,NULL
2082,4118,1,1,16.666,0,255,1,0,-1,-1,NULL,NULL
2082,15806,1,1,16.666,0,255,1,0,-1,-1,NULL,NULL
2082,15843,1,1,16.666,0,255,1,0,-1,-1,NULL,NULL
2082,22982,1,0,16.666,0,255,1,0,-1,-1,NULL,NULL
2082,26087,1,0,16.666,0,255,1,0,-1,-1,NULL,NULL
2082,27407,1,1,16.666,0,255,1,0,-1,-1,NULL,NULL
2183,4309,1,1,25,0,255,1,0,-1,-1,NULL,NULL
2183,4405,1,1,75,0,255,1,0,-1,-1,NULL,NULL
2186,4310,1,1,75,0,127,1,0,-1,-1,NULL,NULL
2186,5365,1,1,25,0,127,1,0,-1,-1,NULL,NULL
2198,4324,1,1,33.333,0,255,1,0,-1,-1,NULL,NULL
2198,26213,1,1,33.333,0,255,1,0,-1,-1,NULL,NULL
2198,26863,1,1,33.333,0,255,1,0,-1,-1,NULL,NULL
2202,4324,1,1,1.5,0,255,1,0,-1,-1,NULL,NULL
2202,22838,1,1,1.5,0,255,1,0,-1,-1,NULL,NULL
2203,29539,1,0,100,0,255,1,0,-1,-1,NULL,NULL
2204,28749,1,0,60,0,255,1,0,-1,-1,NULL,NULL
